(Required),(Erforderlich)
{0} copied to clipboard,{0} in die Zwischenablage kopiert
{0} documents,{0} Dokumente
{0} documents deleted,{0} Dokumente gelöscht
{0} documents marked as read,{0} Dokumente als gelesen markiert
{0} documents over limit,{0} Dokumente über dem Limit
{0} documents remaining this month,Noch {0} Dokumente in diesem Monat
{0} has been successfully verified and is now active on the Peppol network.,{0} wurde erfolgreich verifiziert und ist jetzt im Peppol-Netzwerk aktiv.
{0} is currently not supported,{0} wird derzeit nicht unterstützt
{0} is partially supported,{0} wird teilweise unterstützt
{0} Plan,Tarif {0}
{0} selected,{0} ausgewählt
{0} total,{0} insgesamt
/month excl. VAT,/Monat zzgl. USt.
✓ Sent over Peppol network,✓ Über das Peppol-Netzwerk gesendet
✓ Sent to {0},✓ An {0} gesendet
€{0} per extra document,{0} € pro zusätzlichem Dokument
A billing profile is required to get started.,Zum Einstieg ist ein Abrechnungsprofil erforderlich.
A document has been received for your company. If enabled\, the integration will be notified and can process the document.,Ein Dokument wurde für Ihr Unternehmen empfangen. Wenn diese Option aktiviert ist\, wird die Integration benachrichtigt und kann das Dokument verarbeiten.
A document label has been assigned to the document. If enabled\, the integration will be notified and can process the document.,Dem Dokument wurde ein Label zugewiesen. Wenn diese Option aktiviert ist\, wird die Integration benachrichtigt und kann das Dokument verarbeiten.
A document label has been unassigned from the document. If enabled\, the integration will be notified and can process the document.,Ein Label wurde vom Dokument entfernt. Wenn diese Option aktiviert ist\, wird die Integration benachrichtigt und kann das Dokument verarbeiten.
A playground is used to test the Recommand API without affecting production data or communicating over the Peppol network. {0} You can switch to a production environment by clicking the team switcher in the top left.,Eine Testumgebung dient dazu\, die Recommand API zu testen\, ohne Produktionsdaten zu beeinflussen oder über das Peppol-Netzwerk zu kommunizieren. {0} Über den Teamumschalter oben links können Sie zu einer Produktionsumgebung wechseln.
A verification session has already been started for {0}. If the previous link expired or was closed\, you can request a new one below.,Für {0} wurde bereits eine Verifizierungssitzung gestartet. Wenn der vorherige Link abgelaufen oder geschlossen wurde\, können Sie unten einen neuen anfordern.
