{0} documents,{0} documenten
{0} documents deleted,{0} documenten verwijderd
{0} documents marked as read,{0} documenten gemarkeerd als gelezen
{0} documents over limit,{0} documenten boven de limiet
{0} documents remaining this month,{0} documenten resterend deze maand
{0} has been successfully verified and is now active on the Peppol network.,{0} is succesvol geverifieerd en is nu actief op het Peppol-netwerk.
{0} Plan,Abonnement {0}
{0} selected,{0} geselecteerd
{0} total,{0} totaal
A billing profile is required to get started.,Een facturatieprofiel is vereist om aan de slag te gaan.
A document has been received for your company. If enabled\, the integration will be notified and can process the document.,Er is een document voor je bedrijf ontvangen. Indien ingeschakeld\, krijgt de integratie een melding en kan deze het document verwerken.
A document label has been assigned to the document. If enabled\, the integration will be notified and can process the document.,Er is een label aan het document toegewezen. Indien ingeschakeld\, krijgt de integratie een melding en kan deze het document verwerken.
A document label has been unassigned from the document. If enabled\, the integration will be notified and can process the document.,Er is een label van het document verwijderd. Indien ingeschakeld\, krijgt de integratie een melding en kan deze het document verwerken.
A playground is used to test the Recommand API without affecting production data or communicating over the Peppol network. {0} You can switch to a production environment by clicking the team switcher in the top left.,Een testomgeving wordt gebruikt om de Recommand-API te testen zonder productiegegevens te beïnvloeden of via het Peppol-netwerk te communiceren. {0} Je kunt naar een productieomgeving overschakelen via de teamwisselaar linksboven.
A verification session has already been started for {0}. If the previous link expired or was closed\, you can request a new one below.,Er is al een verificatiesessie gestart voor {0}. Als de vorige link is verlopen of is gesloten\, kun je hieronder een nieuwe aanvragen.
Accept,Accepteren
Accepting...,Accepteren...
Active,Actief
Active subscription with full access,Actief abonnement met volledige toegang
Add,Toevoegen
Add Address,Adres toevoegen
Add all companies for which you want to send or receive Peppol documents.,Voeg alle bedrijven toe waarvoor je Peppol-documenten wilt verzenden of ontvangen.
Add label,Label toevoegen
Add playground,Testomgeving toevoegen
Address,Adres
Address *,Adres *
Advanced,Geavanceerd
All documents deleted successfully,Alle documenten succesvol verwijderd
Amount (excl. VAT),Bedrag (excl. btw)
An notification has been received from the external service. If enabled\, the integration will be notified and can process the notification.,Er is een melding van de externe dienst ontvangen. Indien ingeschakeld\, krijgt de integratie een melding en kan deze de melding verwerken.
An unexpected error occurred. Please try again.,Er is een onverwachte fout opgetreden. Probeer het opnieuw.
Are you sure you want to delete {0} selected documents? This action cannot be undone.,Weet je zeker dat je {0} geselecteerde documenten wilt verwijderen? Deze actie kan niet ongedaan worden gemaakt.
Are you sure you want to delete all documents? This action cannot be undone. All documents in this playground will be permanently removed.,Weet je zeker dat je alle documenten wilt verwijderen? Deze actie kan niet ongedaan worden gemaakt. Alle documenten in deze testomgeving worden permanent verwijderd.
Are you sure you want to delete customer "{0}"?,Weet je zeker dat je klant "{0}" wilt verwijderen?
Are you sure you want to delete this company? This action cannot be undone.,Weet je zeker dat je dit bedrijf wilt verwijderen? Deze actie kan niet ongedaan worden gemaakt.
Are you sure you want to delete this document?,Weet je zeker dat je dit document wilt verwijderen?
Are you sure you want to delete this integration? This action cannot be undone.,Weet je zeker dat je deze integratie wilt verwijderen? Deze actie kan niet ongedaan worden gemaakt.
Are you sure you want to delete this supplier? This action cannot be undone.,Weet je zeker dat je deze leverancier wilt verwijderen? Deze actie kan niet ongedaan worden gemaakt.
Are you sure you want to reset the integration state? This will clear all stored state data.,Weet je zeker dat je de integratiestatus wilt resetten? Alle opgeslagen statusgegevens worden gewist.
Assign label,Label toewijzen
Assign Labels,Labels toewijzen
Attachment,Bijlage
Attachment {0},Bijlage {0}
Attachments,Bijlagen
Authentication,Authenticatie
Authorized,Geautoriseerd
Automatically send invoices made in Harvest to your customers via Peppol.,Verzend facturen die in Harvest zijn gemaakt automatisch via Peppol naar je klanten.
Automatically sync documents with your accounting software,Synchroniseer automatisch documenten met je boekhoudsoftware
Available integrations:,Beschikbare integraties:
Awaiting verification result,Wachtend op verificatieresultaat
Back to Companies,Terug naar bedrijven
Back to documents,Terug naar documenten
Back to your details,Terug naar je gegevens
Billing,Facturatie
Billing Date,Facturatiedatum
Billing Email,E-mailadres voor facturatie
Billing History,Facturatiegeschiedenis
Billing Peppol Address,Peppol-adres voor facturatie
Billing Profile,Facturatieprofiel
Brussels,Brussel
