A billing profile is required to get started.,Un profil de facturation est nécessaire pour commencer.
A playground is used to test the Recommand API without affecting production data or communicating over the Peppol network. {0} You can switch to a production environment by clicking the team switcher in the top left.,Un environnement de test permet de tester l'API Recommand sans affecter les données de production ni communiquer sur le réseau Peppol. {0} Vous pouvez passer à un environnement de production en cliquant sur le sélecteur d'équipe en haut à gauche.
A verification session has already been started for {0}. If the previous link expired or was closed\, you can request a new one below.,Une session de vérification a déjà été lancée pour {0}. Si le lien précédent a expiré ou a été fermé\, vous pouvez en demander un nouveau ci-dessous.
Accept,Accepter
Accepting...,Acceptation...
Active,Actif
Active subscription with full access,Abonnement actif avec accès complet
Add,Ajouter
Add all companies for which you want to send or receive Peppol documents.,Ajoutez toutes les entreprises pour lesquelles vous souhaitez envoyer ou recevoir des documents Peppol.
Add label,Ajouter un libellé
Add playground,Ajouter un environnement de test
Address,Adresse
Advanced,Avancé
All documents deleted successfully,Tous les documents ont été supprimés avec succès
Amount (excl. VAT),Montant (hors TVA)
An unexpected error occurred. Please try again.,Une erreur inattendue s'est produite. Veuillez réessayer.
Are you sure you want to delete all documents? This action cannot be undone. All documents in this playground will be permanently removed.,Êtes-vous sûr de vouloir supprimer tous les documents ? Cette action est irréversible. Tous les documents de cet environnement de test seront définitivement supprimés.
Are you sure you want to delete this company? This action cannot be undone.,Êtes-vous sûr de vouloir supprimer cette entreprise ? Cette action est irréversible.
Are you sure you want to delete this document?,Êtes-vous sûr de vouloir supprimer ce document ?
Are you sure you want to delete this integration? This action cannot be undone.,Êtes-vous sûr de vouloir supprimer cette intégration ? Cette action est irréversible.
Are you sure you want to delete {0} selected documents? This action cannot be undone.,Êtes-vous sûr de vouloir supprimer les {0} documents sélectionnés ? Cette action est irréversible.
Are you sure you want to reset the integration state? This will clear all stored state data.,Êtes-vous sûr de vouloir réinitialiser l'état de l'intégration ? Toutes les données d'état enregistrées seront effacées.
Assign Labels,Attribuer des libellés
Assign label,Attribuer un libellé
Attachment,Pièce jointe
Attachment {0},Pièce jointe {0}
Attachments,Pièces jointes
Authentication,Authentification
Automatically sync documents with your accounting software,Synchroniser automatiquement les documents avec votre logiciel comptable
Available integrations:,Intégrations disponibles :
Awaiting verification result,En attente du résultat de la vérification
Authorized,Autorisé
Back to Companies,Retour aux entreprises
Back to documents,Retour aux documents
